image_url,Cluster,Sentiment
https://media.rtm.com/thegreatexchange/large/0d5c46c1-b054-4772-b41b-249edfc2483a.jpeg,26,Positive
https://media.rtm.com/thegreatexchange/large/f26d28f9-4cc6-416d-aa37-d784d0bbf38a.jpeg,11,Positive
https://media.rtm.com/thegreatexchange/large/bda02f2f-07bd-44fc-b842-5adc93fa16af.jpeg,19,Negative
https://media.rtm.com/thegreatexchange/large/14874085-04d4-4573-949f-57d9b2fa716a.jpeg,3,Positive
https://media.rtm.com/thegreatexchange/large/911be435-cb6c-40ff-843f-64dce6a6614f.jpeg,21,Positive
https://media.rtm.com/thegreatexchange/large/96935022-74a7-4ce2-ad9a-6b80ca306e08.jpeg,3,Positive
https://media.rtm.com/thegreatexchange/large/b669a456-ecf3-4479-b68d-40c15f2ba768.jpeg,75,Positive
https://media.rtm.com/thegreatexchange/large/7c12b12e-60a2-4d20-aa0a-26d37d2db5f1.jpeg,10,Positive
https://media.rtm.com/thegreatexchange/large/d92b46be-ae1b-4e69-8d91-ef553dcecc1a.jpeg,72,Negative
https://media.rtm.com/thegreatexchange/large/4dfc27e7-4e63-42bc-9ed2-8a51ad0968c2.jpeg,58,Positive
https://media.rtm.com/thegreatexchange/large/11bedfdf-e3ec-464c-96ec-ae996ce599c1.jpeg,27,Positive
https://media.rtm.com/thegreatexchange/large/277916d4-3f63-4e28-a897-81d7ef2e3faf.jpeg,17,Negative
https://media.rtm.com/thegreatexchange/large/93fb183d-f9f3-4043-8d9c-ebe4543a6090.jpeg,7,Positive
https://media.rtm.com/thegreatexchange/large/af406061-fdd3-4c15-9660-30246b141445.jpeg,56,Positive
https://media.rtm.com/thegreatexchange/large/2ed8c454-889a-4036-81fa-7e91531abb45.jpeg,41,Positive
https://media.rtm.com/thegreatexchange/large/a336ff87-bd0f-4ba1-acd0-eaa0ec98910f.jpeg,27,Positive
https://media.rtm.com/thegreatexchange/large/d3457cea-d504-4ae1-adb5-b14d2ae25929.jpeg,72,Positive
https://media.rtm.com/thegreatexchange/large/fc879ae6-a8b8-44e6-b7db-396b18097145.jpeg,20,Positive
https://media.rtm.com/thegreatexchange/large/25f19684-b0dd-44d8-b5e8-573036af115c.jpeg,3,Positive
https://media.rtm.com/thegreatexchange/large/ae62471c-f30c-473b-9982-166bbeb0e396.jpeg,45,Negative
https://media.rtm.com/thegreatexchange/large/94e1eb17-0abf-4b9a-8d95-69eee95c1db0.jpeg,93,Positive
https://media.rtm.com/thegreatexchange/large/b206f39d-0df9-4d66-917b-dcd9242fc841.jpeg,48,Positive
https://media.rtm.com/thegreatexchange/large/7a25d424-f731-41ff-bd11-baf66635c60d.jpeg,6,Positive
https://media.rtm.com/thegreatexchange/large/68204853-8a03-4cb4-91d1-e6d9dc160644.jpeg,76,Negative
https://media.rtm.com/thegreatexchange/large/1436764e-116e-4c33-b30a-0e04e3902e0e.jpeg,55,Positive
https://media.rtm.com/thegreatexchange/large/ebb8781b-7915-471b-b956-ba42c49a7a7c.jpeg,43,Positive
https://media.rtm.com/thegreatexchange/large/d9fa0204-5ae2-451d-8e13-1019662c210d.jpeg,35,Positive
https://media.rtm.com/thegreatexchange/large/842d5963-159c-4ea9-9aee-bb4f51612c20.jpeg,34,Negative
https://media.rtm.com/thegreatexchange/large/f15df7ef-a840-4ba6-809c-05081517e7cb.jpeg,67,Positive
